portal,portal_property_id,url,canonical_url,title,price,currency,expenses,expenses_currency,address,neighborhood,publisher_name,covered_area,semi_covered_area,total_area,rooms,bedrooms,bathrooms,age,parking_count,condition,orientation,floor,amenities,publication_date,description,detail_fetched,raw_data
demo-b,demo-00010,https://demo-b.example/aviso/demo-00010,https://demo-b.example/aviso/demo-00010,Departamento 4 ambientes en Belgrano,286000,USD,247000,ARS,"Montañeses 2775, Piso 7","Belgrano, Capital Federal",Mirador Propiedades,96.5,12,108.5,4,3,3,0,0,Excelente,,7,,2026-07-12,"Departamento de 4 ambientes a estrenar en Montañeses al 2700, pleno corazón de Belgrano. En el piso 7, con 96 m² cubiertos más 12 m² de balcón terraza, este inmueble se entrega en excelente estado y con una fluidez de espacios que invita a habitarlo desde el primer día. Los 3 dormitorios, todos con holgura, y sus 3 baños lo convierten en una opción contundente para quien busca comodidad sin resignar categoría.

La distribución es clásica y funcional, con un living comedor de buen frente que se integra al balcón, ideal para despegarse del ruido sin perder la cercanía a los bares y plazas del barrio. Al ser a estrenar, no hay que pensar en refacciones: se recibe impecable, con terminaciones modernas y pensadas para el uso diario. Sin cochera ni amenities, el mantenimiento se vuelve más liviano, algo que se agradece en una zona cada vez más buscada. Una oportunidad concreta para invertir o mudarse a un piso 7 con vista despejada, en una de las calles más arboladas de Belgrano.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00011,https://demo-b.example/aviso/demo-00011,https://demo-b.example/aviso/demo-00011,Departamento 2 ambientes en Belgrano,120000,USD,382000,ARS,"Virrey del Pino 2472, Piso 6","Belgrano, Capital Federal",Grupo Arcos,41.0,,41.0,2,1,1,0,0,A Estrenar,,6,,2026-08-13,"Departamento a estrenar en pleno Belgrano, sobre Virrey del Pino al 2400, en un piso 6 con ascensor. Se trata de un dos ambientes muy bien resueltos, con un dormitorio y un baño completo, en sus 41 m² cubiertos. Ideal para quienes buscan estrenar en una zona consolidada, con todos los servicios a la vuelta de la esquina y muy bien conectado con el resto de la ciudad. Al no contar con cochera ni amenities, el edificio mantiene expensas accesibles, pensado para quien valora la ubicación y la funcionalidad por sobre los lujos.

El departamento a estrenar se encuentra en plena etapa de obra, con una entrega estimada para los próximos meses. Las fotos que se ven corresponden al modelo de referencia, por lo que el resultado final puede variar levemente. Es una oportunidad ideal para comprar en pozo y asegurarse un valor de propiedad en una de las zonas más buscadas de la Ciudad. Consultá por planes de financiación y no dejes pasar esta chance de tener tu primer departamento o una inversión con gran proyección.",true,"{""sintetico"": true, ""caso"": ""pozo"", ""duplicado_de"": null}"
demo-a,demo-00013,https://demo-a.example/aviso/demo-00013,https://demo-a.example/aviso/demo-00013,Departamento 3 ambientes en Palermo,274000,USD,,,Fitz Roy 5576,"Palermo, Capital Federal",Estudio Lacroze,69.3,8,77.3,,,,,,,,,"seguridad 24 h, gimnasio, solarium",2026-07-26,"Departamento de 3 ambientes en Fitz Roy al 5500, Palermo, CABA. Está a estrenar, en piso 7 con ascensor, y cuenta con 69 m² cubiertos más 8 m² de balcón terraza. Tiene dos dormitorios, un baño y presenta buen estado general. El edificio ofrece amenities como seguridad 24 h, gimnasio y solarium, ideal para quienes buscan comodidad en una zona con todos los servicios. Sin cochera.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00014,https://demo-a.example/aviso/demo-00014,https://demo-a.example/aviso/demo-00014,Departamento 2 ambientes en Palermo,130000,USD,302000,ARS,Godoy Cruz 4528,"Palermo, Capital Federal",Sur & Asociados,56.3,,56.3,,,,,,,,,pileta,2026-05-22,"Departamento de 2 ambientes y 1 dormitorio en el corazón de Palermo, sobre Godoy Cruz al 4500. Se trata de una unidad de 56 m² cubiertos, ubicada en un piso 8 y al contrafrente, lo que garantiza silencio y buena luminosidad durante todo el día. La distribución es funcional: living comedor con paso al balcón, cocina independiente con posibilidad de integración, y un baño completo. La propiedad se entrega a refaccionar, ideal para quien quiera ponerle su sello personal y dejar el departamento a nuevo a su gusto.

El edificio cuenta con pileta en el terraza, perfecta para los días de calor porteño. Sin lugar a dudas, una oportunidad única para invertir o para vivir en una de las zonas más buscadas de la ciudad, con todos los comercios, bares y medios de transporte a pocos metros. La orientación contrafrente y la altura del piso 8 suman privacidad y una vista despejada. Un dato a tener en cuenta: la propiedad requiere de una puesta en valor general, pero su potencial es enorme. Ideal para aquellos que buscan un dos ambientes con amenities en Palermo a un valor de ingreso atractivo, y que estén dispuestos a invertir en refacciones para lograr el hogar soñado.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00015,https://demo-a.example/aviso/demo-00015,https://demo-a.example/aviso/demo-00015,Departamento 3 ambientes en Palermo,214000,USD,276000,ARS,"Fitz Roy 2323, Piso 15","Palermo, Capital Federal",Grupo Arcos,68.7,,68.7,3,2,1,60,0,A Refaccionar,,15,"gimnasio, solarium, sum, parrilla, laundry",2026-05-15,"Departamento de 3 ambientes en Fitz Roy al 2300, Palermo. Con 69 m² cubiertos, cuenta con 2 dormitorios, living comedor y cocina, más un baño completo. Se encuentra en piso 15, con una vista que aprovecha la altura del edificio. La propiedad tiene 60 años de antigüedad y se entrega a refaccionar, ideal para quienes buscan ponerle su propio sello. El edificio ofrece amenities como gimnasio, solarium, SUM, parrilla y laundry, perfectos para disfrutar sin salir de casa. Sin cochera. Una oportunidad única en una de las zonas más buscadas de Palermo.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00016,https://demo-a.example/aviso/demo-00016,https://demo-a.example/aviso/demo-00016,Departamento 3 ambientes en Belgrano,305000,USD,240000,ARS,Migueletes 4941,"Belgrano, Capital Federal",Estudio Lacroze,88.8,3,91.8,,,,,,,,,,2026-07-04,"Departamento de 3 ambientes en alquiler en el corazón de Belgrano, sobre Migueletes al 4900. Se trata de un inmueble en excelente estado, con 89 m² cubiertos más un balcón terraza de 3 m². Está ubicado en un piso 2, sin ascensor, lo que le da una tranquilidad extra y mucho más privacidad. Cuenta con dos dormitorios amplios, un baño completo y un living comedor de buenas dimensiones, con buena distribución y luz. Todo el interior se conserva impecable, listo para vivir sin necesidad de reformas. La zona es de las más buscadas del barrio, con todos los servicios a la mano, comercios, transporte y espacios verdes cerca. Ideal para parejas o chicos que quieran independizarse. Sin cochera y sin amenities, pero con un edificio tranquilo y bien mantenido. Consultá por visitas.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00017,https://demo-a.example/aviso/demo-00017,https://demo-a.example/aviso/demo-00017,Departamento 1 ambientes en Palermo,123000,USD,241000,ARS,"Fitz Roy 2019, Piso 10","Palermo, Capital Federal",Mirador Propiedades,32.1,1.5,33.6,1,0,1,25,0,Muy Bueno,Frente,10,"laundry, parrilla, seguridad 24 h, solarium, gimnasio",2026-05-30,"Departamento de 1 ambiente en Palermo, sobre Fitz Roy al 2000, al frente, piso 10 con ascensor. Muy buen estado, 32 m² cubiertos más 2 m² de balcón terraza. El edificio tiene 25 años de antigüedad y cuenta con laundry, parrilla, seguridad 24 horas, solarium y gimnasio. Una oportunidad única para quienes buscan vivir en una de las zonas más lindas de la Ciudad.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00018,https://demo-b.example/aviso/demo-00018,https://demo-b.example/aviso/demo-00018,Departamento 1 ambientes en Palermo,124000,USD,241000,ARS,"Fitz Roy 2000, Piso 10","Palermo, Capital Federal",Casa Nueva Negocios Inmobiliarios,33.2,1.5,34.7,1,0,1,,0,Muy Bueno,Frente,10,"laundry, parrilla, seguridad 24 h, solarium, gimnasio",2026-05-30,"Departamento de 1 ambiente en el corazón de Palermo, sobre Fitz Roy al 2000. Está en un piso 10, al frente, con una luminosidad y vista que se disfrutan todo el día. Son 33 m² cubiertos más 2 m² de balcón terraza, todo en muy buen estado y listo para habitar. Al ser al frente, cada ambiente se siente más amplio y ventilado. El edificio cuenta con ascensor, seguridad 24 horas, laundry, parrilla, solarium y gimnasio, ideales para sumar confort sin moverte de casa. Sin cochera. Un unitario pensado para quienes buscan calidad de vida en una de las zonas más conectadas de la ciudad.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": ""demo-00017""}"
demo-a,demo-00019,https://demo-a.example/aviso/demo-00019,https://demo-a.example/aviso/demo-00019,Departamento 2 ambientes en Palermo,159000,USD,,,Nicaragua 531,"Palermo, Capital Federal",Norte Propiedades,49.6,,49.6,,,,,,,,,"seguridad 24 h, sum, solarium, laundry, gimnasio",2026-06-23,"Departamento de 2 ambientes en pleno corazón de Palermo, sobre la calle Nicaragua al 500, en un edificio con seguridad 24 horas y una serie de amenities que se agradecen en la ciudad. Son 50 metros cuadrados de superficie cubierta, ideales para una pareja que busque comodidad y buena ubicación. El estar está muy bien proporcionado y el dormitorio es amplio, con buena distribución para aprovechar cada rincón. La cocina es pasante y el baño completo.

Se destaca el edificio, que cuenta con sum y solarium para los días de calor, además de laundry y gimnasio, pensado para no tener que moverte de tu propio bloque. Sin lugar a dudas, un plus que suma calidad de vida. El departamento está en excelente estado, listo para habitar sin hacer reformas, ya que se nota que está bien mantenido y con detalles cuidados.

La zona es inmejorable: rodeada de bares, restaurantes y medios de transporte, con la vida de Palermo a la vuelta de la esquina. Un dos ambientes perfecto para estrenar o para invertir, en una de las calles más buscadas del barrio. Consultanos por la visita, atenderte es nuestro trabajo.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00020,https://demo-a.example/aviso/demo-00020,https://demo-a.example/aviso/demo-00020,Departamento 2 ambientes en Palermo,142000,USD,,,Gorriti 3665,"Palermo, Capital Federal",Casa Nueva Negocios Inmobiliarios,40.9,8,48.9,,,,,,,,,"sum, seguridad 24 h",2026-07-24,"Departamento de 2 ambientes en pleno Palermo, sobre la calle Gorriti al 3600, a metros de todo. Con una distribución prolija, cuenta con living comedor, un dormitorio en excelente lay-out y un baño completo. Son 41 m² cubiertos, que se ven potenciados por una terraza balcón de 8 m² ideal para despegarse del bullicio sin salir de tu casa. La seguridad es un punto a favor: el edificio cuenta con seguridad 24 horas, lo que te da tranquilidad las 24 horas. Además, el sum es un golazo para recibir amigos o simplemente relajarse después de una jornada intensa.

Pensado para quien busca comodidad y buena ubicación, este dos ambientes es perfecto como refugio urbano o para sumar inversión. Al no tener cochera, igual te manejás caminando por una de las zonas más vibrantes de la Ciudad. La propiedad se entrega en perfectas condiciones para habitar, lista para que la hagas tuya. Si estás buscando dar el salto a Palermo con un inmueble de carácter, esta es tu oportunidad. Consultanos por visita, coordinamos sin compromiso.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00021,https://demo-a.example/aviso/demo-00021,https://demo-a.example/aviso/demo-00021,Departamento 3 ambientes en Palermo,237000,USD,399000,ARS,"Fitz Roy 4613, Piso 7","Palermo, Capital Federal",Casa Nueva Negocios Inmobiliarios,86.0,12,98.0,3,2,1,,0,Excelente,,7,seguridad 24 h,2026-07-18,"Se vende departamento de 3 ambientes en Fitz Roy al 4600, Palermo, CABA. Está en el piso 7 y cuenta con 86 m² cubiertos más 12 m² de balcón/terraza. Consta de dos dormitorios, un baño y un living comedor. No incluye cochera y tiene seguridad 24 h.

Aprovechá esta oportunidad en Palermo y consultá por esta unidad. Por más información o para coordinar una visita, escribinos y te pasamos los detalles.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00022,https://demo-b.example/aviso/demo-00022,https://demo-b.example/aviso/demo-00022,Departamento 2 ambientes en Belgrano,103000,USD,330000,ARS,"Zabala 1820, Piso 12","Belgrano, Capital Federal",Norte Propiedades,46.5,8,54.5,2,1,1,,0,A Refaccionar,Contrafrente,12,"gimnasio, sum",2026-07-19,"Departamento de 2 ambientes y 1 dormitorio en excelente zona de Belgrano, sobre Zabala al 1800. Se trata de una unidad al contrafrente, ideal para quienes buscan silencio y luminosidad dentro de la ciudad. Con 46 m² cubiertos más 8 m² de balcón terraza, el ambiente se potencia con un living comedor de muy linda proporción y una galería que invita a desayunar al aire libre. La cocina es independiente y el baño completo, ambos a refaccionar, lo que permite dejar el sello personal en cada detalle. El edificio cuenta con ascensor y está en un punto estratégico, cerca de los principales medios de transporte, plazas y una gran variedad de comercios.

La propiedad es perfecta como inversión o para vivir en pareja, aprovechando los amenities del edificio: gimnasio y SUM. Al estar al contrafrente, se disfruta de un descanso sin los ruidos habituales de la avenida. Sin lugar a dudas, una oportunidad para quienes valoran la zona y buscan un proyecto a medida. Para coordinar la visita, no dudes en contactarnos.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00023,https://demo-b.example/aviso/demo-00023,https://demo-b.example/aviso/demo-00023,Departamento 1 ambientes en Palermo,72000,USD,521000,ARS,Gurruchaga 1698,"Palermo, Capital Federal",Inmobiliaria del Parque,28.9,2.5,31.4,,,,,,,,,seguridad 24 h,2026-08-23,"Departamento en venta en pleno Palermo, sobre Gurruchaga al 1600. Es un monoambiente de 29 m² cubiertos más un balcón terraza de 2 m², al contrafrente, lo que garantiza un ambiente bien tranquilo y luminoso sin el ruido de la avenida. El edificio tiene 60 años de antigüedad pero el departamento está en buen estado general, listo para habitar o para invertir. Cuenta con un baño completo y seguridad las 24 horas, un plus que siempre suma en una zona tan demandada. Sin cochera. Ideal para quienes buscan un pie en Palermo con buena relación entre espacio y ubicación.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00024,https://demo-a.example/aviso/demo-00024,https://demo-a.example/aviso/demo-00024,Departamento 3 ambientes en Belgrano,233000,USD,525000,ARS,"Cuba 1850, Piso 10","Belgrano, Capital Federal",Casa Nueva Negocios Inmobiliarios,94.6,5,99.6,3,2,1,,0,Muy Bueno,Interno,10,parrilla,2026-08-20,"Departamento en Belgrano, sobre la calle Cuba al 1800, piso 10. Unidad interna, luminosa y silenciosa, con 95 m² cubiertos más 5 m² de balcón terraza. Consta de tres ambientes: living comedor amplio, cocina independiente, dos dormitorios y un baño completo. Está en muy buen estado, listo para habitar. El edificio cuenta con parrilla de uso común. Ideal para quienes buscan ubicación y confort en uno de los barrios más cotizados de la Ciudad. Sin cochera.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00025,https://demo-a.example/aviso/demo-00025,https://demo-a.example/aviso/demo-00025,Departamento 3 ambientes en Belgrano,243000,USD,,,"Virrey del Pino 4644, Piso 10","Belgrano, Capital Federal",Casa Nueva Negocios Inmobiliarios,96.7,3,99.7,3,2,1,,0,Excelente,,10,"solarium, seguridad 24 h",2026-07-29,"Departamento de tres ambientes en Belgrano, Virrey del Pino al 4600. Son dos dormitorios, un baño y un living comedor amplio, con una superficie cubierta de 97 m² más un balcón terraza de 3 m². Está en piso 10, en excelente estado, listo para habitar. El edificio cuenta con solarium y seguridad las 24 horas. Ideal para quien busca un hogar bien ubicado, con buena luz y vistas despejadas, sin necesidad de cochera. Una oportunidad concreta en uno de los barrios más buscados de la ciudad.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00026,https://demo-a.example/aviso/demo-00026,https://demo-a.example/aviso/demo-00026,Departamento 3 ambientes en Belgrano,154000,USD,366000,ARS,"Juramento 2815, Piso 1","Belgrano, Capital Federal",Belgrano Brokers,65.1,,65.1,3,2,1,0,0,Excelente,Frente,1,"gimnasio, laundry",2026-04-29,"Departamento a estrenar en Belgrano, Juramento al 2800, una oportunidad única en una de las zonas más buscadas de la ciudad. Está en el piso 1, al frente, con una luminosidad que se disfruta todo el día y una distribución de 3 ambientes que incluye 2 dormitorios y un baño completo en excelente estado. Con 65 m² bien aprovechados, es ideal tanto para quienes arrancan como para quienes buscan bajar de superficie sin perder calidad de vida.

El edificio cuenta con gimnasio y laundry, pensado para sumar practica al día a día, aunque no tiene cochera. Al ser a estrenar, los terminaciones y detalles están impecables, listo para habitar sin necesidad de reformas. Una oportunidad concreta para vivir en Belgrano con todo lo necesario a mano, en un ambiente moderno y cuidado.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00027,https://demo-a.example/aviso/demo-00027,https://demo-a.example/aviso/demo-00027,Departamento 3 ambientes en Belgrano,264000,USD,296000,ARS,Freire 515,"Belgrano, Capital Federal",Estudio Lacroze,78.5,3,81.5,,,,,,,,,,2026-08-01,"Departamento de 3 ambientes en Belgrano, sobre Freire al 500, con 78 m² cubiertos más 3 m² de balcón terraza. Se trata de un piso 5 con muy buen estado y apenas 5 años de antigüedad, ideal para quienes buscan un hogar moderno y cuidado. Cuenta con dos dormitorios, un baño completo y espacios bien distribuidos, todo en un edificio sin cochera ni amenities, perfecto para quienes valoran la ubicación y la funcionalidad. Una oportunidad para vivir en una de las zonas más buscadas de la ciudad, con todos los servicios a mano y una excelente relación entre superficie y confort.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
